RegionID,RegionName,City,State,Metro,CountyName,2019-02,price_log
417879,Powell Estates,Mesa,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,210800,5.323870606540509
738082,Historic Overland Park,Overland Park,KS,Kansas City,Johnson County,160300,5.204933522354144
220576,Cherry Hill,Port Angeles,WA,Port Angeles,Clallam County,227800,5.357553719743081
271432,Hunters Creek,San Antonio,TX,San Antonio-New Braunfels,Bexar County,348200,5.541828766781312
246620,Port Norfolk,Portsmouth,VA,Virginia Beach-Norfolk-Newport News,Portsmouth City,167700,5.224533062606086
761074,Terramor Village,Ladera Ranch,CA,Los Angeles-Long Beach-Anaheim,Orange County,657600,5.817961804531994
417090,Eagle Ranch,Bakersfield,CA,Bakersfield,Kern County,393800,5.595275711802099
761028,Sorenson,Saint Louis Park,MN,Minneapolis-St. Paul-Bloomington,Hennepin County,309700,5.490941205356787
763510,Laguna Riviera,Elk Grove,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,438900,5.642365580844973
407200,Rockwood,Independence,MO,Kansas City,Jackson County,95200,4.978636948384474
417543,Park Village,Gilbert,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,292500,5.4661258704182
763837,Three Corners,Green Bay,WI,Green Bay,Brown County,90200,4.955206537541942
274134,Jefferson,Theodore,AL,Mobile,Mobile County,120900,5.082426300860772
276120,Woodbridge at Monte Viejo,San Antonio,TX,San Antonio-New Braunfels,Bexar County,188500,5.275311354541811
342687,Normanskill,Albany,NY,Albany-Schenectady-Troy,Albany County,224800,5.351796306897024
415893,Kendale,Columbus,OH,Columbus,Franklin County,277300,5.442949869577862
254711,Wildrose,Corona,CA,Riverside-San Bernardino-Ontario,Riverside County,813400,5.910304168068569
271029,Patterson Park,Dayton,OH,Dayton,Montgomery County,130300,5.114944415712585
416352,North Roland Park - Poplar Hill,Baltimore,MD,Baltimore-Columbia-Towson,Baltimore City,605900,5.78240095249653
268958,Dover Shores West,Orlando,FL,Orlando-Kissimmee-Sanford,Orange County,286100,5.456517857805262
273796,Friends of Karl Wyler,El Paso,TX,El Paso,El Paso County,110500,5.04336227802113
738088,Arrowhead Trails,Overland Park,KS,Kansas City,Johnson County,180700,5.256958152560932
37250,Bakerstown,Richland,PA,Pittsburgh,Allegheny County,307100,5.487279816443069
143591,Ravenswood,Indianapolis,IN,Indianapolis-Carmel-Anderson,Marion County,140600,5.147985320683805
274240,Lake Terrace and Oaks,New Orleans,LA,New Orleans-Metairie,Orleans Parish,413500,5.616475513888566
762271,Tierra Vista,Oxnard,CA,Oxnard-Thousand Oaks-Ventura,Ventura County,462800,5.665393350279712
763176,Stonebridge,Pittsfield,MI,Ann Arbor,Washtenaw County,510600,5.708080810468232
193330,Billington Heights,Elma,NY,Buffalo-Cheektowaga-Niagara Falls,Erie County,278500,5.444825199509748
274948,Palma Ceia West,Tampa,FL,Tampa-St. Petersburg-Clearwater,Hillsborough County,438300,5.641771470653959
275522,Spring Park,Garland,TX,Dallas-Fort Worth-Arlington,Dallas County,379400,5.579097326552644
343614,Green Acres,Palo Alto,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,3095600,6.490744837987661
764129,Glen Acres,Lafayette,IN,Lafayette-West Lafayette,Tippecanoe County,102400,5.010299956639812
416463,Priest Lake Meadows Homeowners,Nashville,TN,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,221400,5.345177616542704
422780,Chisholm Ridge,Fort Worth,TX,Dallas-Fort Worth-Arlington,Tarrant County,222500,5.347330015316951
121676,Benning Heights,Washington,DC,Washington-Arlington-Alexandria,District of Columbia,350100,5.5441921107650325
269011,Holiday Harbors,Jacksonville,FL,Jacksonville,Duval County,327700,5.515476441382376
422802,Foster Park,Fort Worth,TX,Dallas-Fort Worth-Arlington,Tarrant County,374400,5.5733358400660675
417704,Dos Lagos,Corona,CA,Riverside-San Bernardino-Ontario,Riverside County,427100,5.630529571426824
343619,Jordan Jr. Hgh School,Palo Alto,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,4173200,6.620469198710031
269902,Rosemont East,Baltimore,MD,Baltimore-Columbia-Towson,Baltimore City,151800,5.181271771559461
271663,Woods of Shavano,San Antonio,TX,San Antonio-New Braunfels,Bexar County,266700,5.426023015689876
276321,Elm Creek,San Antonio,TX,San Antonio-New Braunfels,Bexar County,549000,5.739572344450092
269877,Original Northwood,Baltimore,MD,Baltimore-Columbia-Towson,Baltimore City,194600,5.289142835932333
273830,Glen Highlands,Oakland,CA,San Francisco-Oakland-Hayward,Alameda County,1646200,6.21648259735246
115029,Fallbrook,Elk Grove,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,460000,5.662757831681574
762840,Cathedral Canyon Cove,Cathedral City,CA,Riverside-San Bernardino-Ontario,Riverside County,419600,5.6228354795215205
763472,Market Heights,Canton,OH,Canton-Massillon,Stark County,131200,5.117933835039642
268611,Z'berg Park,Sacramento,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,424200,5.627570664180543
762480,Hidden River,Parker,CO,Denver-Aurora-Lakewood,Douglas County,454200,5.657247129883716
762671,Coldwater Ridge,Avondale,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,234600,5.37032800777951
273599,Edgewood,Louisville,KY,Louisville/Jefferson County,Jefferson County,101800,5.00774777800074
252875,Crescent,Tulsa,OK,Tulsa,Tulsa County,279300,5.446070935701005
761015,Willard-Wharton,Moline,IL,Davenport-Moline-Rock Island,Rock Island County,82200,4.9148718175400505
763013,Araby Commons,Palm Springs,CA,Riverside-San Bernardino-Ontario,Riverside County,464700,5.667172672478868
274441,Mary Munford,Richmond,VA,Richmond,Richmond City,443300,5.6466977312993345
276577,Southport,Orlando,FL,Orlando-Kissimmee-Sanford,Orange County,199700,5.300378064870703
417591,Carol Rae Ranch,Gilbert,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,312600,5.494988973683168
761135,Mcnamee-Shriver,Cumberland,MD,Cumberland,Allegany County,72100,4.857935264719429
126488,Venetia,Jacksonville,FL,Jacksonville,Duval County,231300,5.364175632770619
270353,Alvarado Park,Albuquerque,NM,Albuquerque,Bernalillo County,163000,5.212187604403958
139105,Lake Forest,Pittsfield,MI,Ann Arbor,Washtenaw County,503600,5.702085721435825
276378,Historic Edgefield,Nashville,TN,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,434600,5.638089721984506
760921,Bartlett Woodlands East,Bartlett,TN,Memphis,Shelby County,180300,5.255995726722402
761073,Wycliffe Village,Ladera Ranch,CA,Los Angeles-Long Beach-Anaheim,Orange County,591500,5.7719547489639496
275764,Town Center,Woodinville,WA,Seattle-Tacoma-Bellevue,King County,278200,5.444357125656028
762137,Cobblecrest,Saint Louis Park,MN,Minneapolis-St. Paul-Bloomington,Hennepin County,318200,5.502700175310562
268462,Seacliff,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,4121800,6.615086914904705
268506,Stonegate,Davis,CA,Sacramento--Roseville--Arden-Arcade,Yolo County,689600,5.8385972528166565
246137,Oakwood,Norfolk,VA,Virginia Beach-Norfolk-Newport News,Norfolk City,159500,5.2027606873932
262429,Deerfield,Lawrence,KS,Lawrence,Douglas County,225000,5.352182518111363
403336,Chrysler Village,Chicago,IL,Chicago-Naperville-Elgin,Cook County,152800,5.184123354239671
422894,The Vineyards at Heritage,Fort Worth,TX,Dallas-Fort Worth-Arlington,Tarrant County,245000,5.389166084364533
183254,Ogburn Station,Winston-Salem,NC,Winston-Salem,Forsyth County,41000,4.6127838567197355
273811,General Krueger,San Antonio,TX,San Antonio-New Braunfels,Bexar County,133200,5.124504224834283
761857,Unified,Hattiesburg,MS,Hattiesburg,Forrest County,68900,4.838219221907626
403365,Parkview,Chicago,IL,Chicago-Naperville-Elgin,Cook County,166800,5.22219604630172
762598,Parkade,Columbia,MO,Columbia,Boone County,140800,5.148602654806093
268652,DIA,Denver,CO,Denver-Aurora-Lakewood,Denver County,251700,5.400883215548363
270465,Peppertree-Royal Oak,Albuquerque,NM,Albuquerque,Bernalillo County,457200,5.660106221723244
272853,Bannister Ares,Kansas City,MO,Kansas City,Jackson County,133600,5.125806458139527
228232,Midtown,Key West,FL,Key West,Monroe County,694700,5.841797298874355
416993,Country Club Heights,San Mateo,CA,San Francisco-Oakland-Hayward,San Mateo County,1740200,6.240599164319883
274904,Olde Glebe,Arlington,VA,Washington-Arlington-Alexandria,Arlington County,1207300,6.08181520063228
416991,Fiesta Gardens,San Mateo,CA,San Francisco-Oakland-Hayward,San Mateo County,1469100,6.16705135873788
761130,Malibu Park,Malibu,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,3603600,6.556736578246606
763937,Morley Heights-Parkview,Duluth,MN,Duluth,Saint Louis County,228000,5.357934847000454
36371,Wanamaker,Indianapolis,IN,Indianapolis-Carmel-Anderson,Marion County,179400,5.253822438708073
247636,Sterling Point,Portsmouth,VA,Virginia Beach-Norfolk-Newport News,Portsmouth City,250900,5.399500661314611
251438,Newport Shores,Bellevue,WA,Seattle-Tacoma-Bellevue,King County,1651300,6.217825980899852
761008,Lake Ota,Federal Way,WA,Seattle-Tacoma-Bellevue,King County,309900,5.491221576239283
274619,Mt. Adams,Cincinnati,OH,Cincinnati,Hamilton County,417400,5.6205524447294355
193760,Chaffee,Huntsville,AL,Huntsville,Madison County,167500,5.224014811372864
273847,Golf View,Tampa,FL,Tampa-St. Petersburg-Clearwater,Hillsborough County,1057700,6.024362504353282
144110,Tecumseh,Lafayette,IN,Lafayette-West Lafayette,Tippecanoe County,121200,5.083502619830267
276656,Westlake,Sacramento,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,450100,5.653309012938479
207722,Willow Creek,Fort Worth,TX,Dallas-Fort Worth-Arlington,Tarrant County,173600,5.239549720840473
221143,Forest Beach,Hilton Head Island,SC,Hilton Head Island-Bluffton-Beaufort,Beaufort County,251200,5.400019635065158
272227,River Bend,Milwaukee,WI,Milwaukee-Waukesha-West Allis,Milwaukee County,153900,5.187238619831478
272916,Belle Morris,Knoxville,TN,Knoxville,Knox County,86800,4.938519725176492
276228,Byrd Park,Richmond,VA,Richmond,Richmond City,334800,5.5247854493212225
396203,Tyler Run,York,PA,York-Hanover,York County,180200,5.2557547866430445
761091,Camelback,Pleasant Hill,CA,San Francisco-Oakland-Hayward,Contra Costa County,526700,5.7215633183574806
761217,Thompson Hill,Cumberland,RI,Providence-Warwick,Providence County,361800,5.558468562523795
762931,McKay Landing,Broomfield,CO,Denver-Aurora-Lakewood,Broomfield County,548800,5.739414102698695
247038,Rosehill,West Allis,WI,Milwaukee-Waukesha-West Allis,Milwaukee County,146000,5.164352855784437
762392,Casa Alegre,Santa Fe,NM,Santa Fe,Santa Fe County,294900,5.469674772551798
270415,Jeanne Bellamah East,Albuquerque,NM,Albuquerque,Bernalillo County,158700,5.200576926754848
272977,Blackwell,Richmond,VA,Richmond,Richmond City,127200,5.104487111312395
418127,Melrose Heights,Columbia,SC,Columbia,Richland County,240700,5.38147609027503
270386,Eagle Ranch,Albuquerque,NM,Albuquerque,Bernalillo County,244100,5.387567779417188
